"","Number","ADM1_NAME","Value","ADM0_NAME","ADM0_NAME_filename","ADM1_NAME_filename","ADM0_NAME_Value"
"1105",1105,"Hokkaidoo",1105,"Japan","Japan","Japan__Hokkaidoo",128
"1106",1106,"Holguin",1106,"Cuba","Cuba","Cuba__Holguin",65
"1107",1107,"Homs",1107,"Syrian Arab Republic","Syrian_Arab_Republic","Syrian_Arab_Republic__Homs",242
"1108",1108,"Hordaland",1108,"Norway","Norway","Norway__Hordaland",189
"1109",1109,"Hormozgan",1109,"Iran  (Islamic Republic of)","Iran__(Islamic_Republic_of)","Iran__(Islamic_Republic_of)__Hormozgan",120
"1110",1110,"Houaphan",1110,"Lao People's Democratic Republic","Lao_People's_Democratic_Republic","Lao_People's_Democratic_Republic__Houaphan",141
"1111",1111,"Hougang",1111,"Singapore","Singapore","Singapore__Hougang",225
"1112",1112,"Huánuco",1112,"Peru","Peru","Peru__Hunuco",198
"1113",1113,"Huambo",1113,"Angola","Angola","Angola__Huambo",8
"1114",1114,"Huancavelica",1114,"Peru","Peru","Peru__Huancavelica",198
"1115",1115,"Hubei Sheng",1115,"China","China","China__Hubei_Sheng",54
"1116",1116,"Huehuetenango",1116,"Guatemala","Guatemala","Guatemala__Huehuetenango",103
"1117",1117,"Huila",1117,"Angola","Angola","Angola__Huila",8
"1118",1118,"Hukui",1118,"Japan","Japan","Japan__Hukui",128
"1119",1119,"Hukuoka",1119,"Japan","Japan","Japan__Hukuoka",128
"1120",1120,"Hukusima",1120,"Japan","Japan","Japan__Hukusima",128
"1121",1121,"Humacao",1121,"Puerto Rico","Puerto_Rico","Puerto_Rico__Humacao",203
"1122",1122,"Hunan Sheng",1122,"China","China","China__Hunan_Sheng",54
"1123",1123,"Hunedoara",1123,"Romania","Romania","Romania__Hunedoara",207
"1124",1124,"Hung Yen",1124,"Viet Nam","Viet_Nam","Viet_Nam__Hung_Yen",269
"1125",1125,"Hwanghae-bukto",1125,"Dem People's Rep of Korea","Dem_People's_Rep_of_Korea","Dem_People's_Rep_of_Korea__Hwanghae-bukto",68
"1126",1126,"Hwanghae-namdo",1126,"Dem People's Rep of Korea","Dem_People's_Rep_of_Korea","Dem_People's_Rep_of_Korea__Hwanghae-namdo",68
"1127",1127,"Hyoogo",1127,"Japan","Japan","Japan__Hyoogo",128
"1128",1128,"Ialomita",1128,"Romania","Romania","Romania__Ialomita",207
"1129",1129,"Iasi",1129,"Romania","Romania","Romania__Iasi",207
"1130",1130,"Ibanda",1130,"Uganda","Uganda","Uganda__Ibanda",259
"1131",1131,"Ibaraki",1131,"Japan","Japan","Japan__Ibaraki",128
"1132",1132,"Ibb",1132,"Yemen","Yemen","Yemen__Ibb",274
"1133",1133,"Ica",1133,"Peru","Peru","Peru__Ica",198
"1134",1134,"Icel",1134,"Turkey","Turkey","Turkey__Icel",254
"1135",1135,"Ida-Viru maakond",1135,"Estonia","Estonia","Estonia__Ida-Viru_maakond",79
"1136",1136,"Idaho",1136,"United States of America","United_States_of_America","United_States_of_America__Idaho",263
"1137",1137,"Idleb",1137,"Syrian Arab Republic","Syrian_Arab_Republic","Syrian_Arab_Republic__Idleb",242
"1138",1138,"Iganga",1138,"Uganda","Uganda","Uganda__Iganga",259
"1139",1139,"Igdir",1139,"Turkey","Turkey","Turkey__Igdir",254
"1140",1140,"Ihorombe",1140,"Madagascar","Madagascar","Madagascar__Ihorombe",152
"1141",1141,"Iklin",1141,"Malta","Malta","Malta__Iklin",158
"1142",1142,"Ilam",1142,"Iran  (Islamic Republic of)","Iran__(Islamic_Republic_of)","Iran__(Islamic_Republic_of)__Ilam",120
"1143",1143,"Ile du Sud",1143,"Seychelles","Seychelles","Seychelles__Ile_du_Sud",223
"1144",1144,"Ile-de-France",1144,"France","France","France__Ile-de-France",86
"1145",1145,"Ilha Da Graciosa (acores)",1145,"Azores Islands","Azores_Islands","Azores_Islands__Ilha_Da_Graciosa_(acores)",20
"1146",1146,"Ilha Da Madeira (madeira)",1146,"Madeira Islands","Madeira_Islands","Madeira_Islands__Ilha_Da_Madeira_(madeira)",153
"1147",1147,"Ilha Das Flores (acores)",1147,"Azores Islands","Azores_Islands","Azores_Islands__Ilha_Das_Flores_(acores)",20
"1148",1148,"Ilha De Porto Santo (madeira)",1148,"Madeira Islands","Madeira_Islands","Madeira_Islands__Ilha_De_Porto_Santo_(madeira)",153
"1149",1149,"Ilha De Santa Maria (acores)",1149,"Azores Islands","Azores_Islands","Azores_Islands__Ilha_De_Santa_Maria_(acores)",20
"1150",1150,"Ilha De Sao Jorge (acores)",1150,"Azores Islands","Azores_Islands","Azores_Islands__Ilha_De_Sao_Jorge_(acores)",20
"1151",1151,"Ilha De Sao Miguel (acores)",1151,"Azores Islands","Azores_Islands","Azores_Islands__Ilha_De_Sao_Miguel_(acores)",20
"1152",1152,"Ilha Do Corvo (acores)",1152,"Azores Islands","Azores_Islands","Azores_Islands__Ilha_Do_Corvo_(acores)",20
"1153",1153,"Ilha Do Faial (acores)",1153,"Azores Islands","Azores_Islands","Azores_Islands__Ilha_Do_Faial_(acores)",20
"1154",1154,"Ilha Do Pico (acores)",1154,"Azores Islands","Azores_Islands","Azores_Islands__Ilha_Do_Pico_(acores)",20
"1155",1155,"Ilha Terceira (acores)",1155,"Azores Islands","Azores_Islands","Azores_Islands__Ilha_Terceira_(acores)",20
"1156",1156,"Ilheu Branco",1156,"Cape Verde","Cape_Verde","Cape_Verde__Ilheu_Branco",49
"1157",1157,"Ilheu Raso",1157,"Cape Verde","Cape_Verde","Cape_Verde__Ilheu_Raso",49
"1158",1158,"Illes Balears",1158,"Spain","Spain","Spain__Illes_Balears",233
"1159",1159,"Illinois",1159,"United States of America","United_States_of_America","United_States_of_America__Illinois",263
"1160",1160,"Illizi",1160,"Algeria","Algeria","Algeria__Illizi",5
"1161",1161,"Imbabura",1161,"Ecuador","Ecuador","Ecuador__Imbabura",74
"1162",1162,"Imereti",1162,"Georgia","Georgia","Georgia__Imereti",93
"1163",1163,"Imo",1163,"Nigeria","Nigeria","Nigeria__Imo",185
"1164",1164,"Inchiri",1164,"Mauritania","Mauritania","Mauritania__Inchiri",161
"1165",1165,"Inchon",1165,"Republic of Korea","Republic_of_Korea","Republic_of_Korea__Inchon",206
"1166",1166,"Independencia",1166,"Dominican Republic","Dominican_Republic","Dominican_Republic__Independencia",73
"1167",1167,"Indiana",1167,"United States of America","United_States_of_America","United_States_of_America__Indiana",263
"1168",1168,"Ingushetiya Rep.",1168,"Russian Federation","Russian_Federation","Russian_Federation__Ingushetiya_Rep.",208
"1169",1169,"Inhambane",1169,"Mozambique","Mozambique","Mozambique__Inhambane",173
"1170",1170,"Intibuca",1170,"Honduras","Honduras","Honduras__Intibuca",112
"1171",1171,"Ionioi Nisoi",1171,"Greece","Greece","Greece__Ionioi_Nisoi",98
"1172",1172,"Iowa",1172,"United States of America","United_States_of_America","United_States_of_America__Iowa",263
"1173",1173,"Ipeiros",1173,"Greece","Greece","Greece__Ipeiros",98
"1174",1174,"Irbid",1174,"Jordan","Jordan","Jordan__Irbid",132
"1175",1175,"Iringa",1175,"United Republic of Tanzania","United_Republic_of_Tanzania","United_Republic_of_Tanzania__Iringa",262
"1176",1176,"Irkutskaya Oblast",1176,"Russian Federation","Russian_Federation","Russian_Federation__Irkutskaya_Oblast",208
"1177",1177,"Isa Town",1177,"Bahrain","Bahrain","Bahrain__Isa_Town",22
"1178",1178,"Isikawa",1178,"Japan","Japan","Japan__Isikawa",128
"1179",1179,"Isingiro",1179,"Uganda","Uganda","Uganda__Isingiro",259
"1180",1180,"Isla",1180,"Malta","Malta","Malta__Isla",158
"1181",1181,"Isla De La Juventud",1181,"Cuba","Cuba","Cuba__Isla_De_La_Juventud",65
"1182",1182,"Islamabad",1182,"Pakistan","Pakistan","Pakistan__Islamabad",191
"1183",1183,"Islas De Bahia",1183,"Honduras","Honduras","Honduras__Islas_De_Bahia",112
"1184",1184,"Ismailia",1184,"Egypt","Egypt","Egypt__Ismailia",75
"1185",1185,"Isparta",1185,"Turkey","Turkey","Turkey__Isparta",254
"1186",1186,"Istanbul",1186,"Turkey","Turkey","Turkey__Istanbul",254
"1187",1187,"Istra",1187,"Croatia","Croatia","Croatia__Istra",64
"1188",1188,"Itapua",1188,"Paraguay","Paraguay","Paraguay__Itapua",197
"1189",1189,"Itasy",1189,"Madagascar","Madagascar","Madagascar__Itasy",152
"1190",1190,"Ivano-frankivs'ka",1190,"Ukraine","Ukraine","Ukraine__Ivano-frankivs'ka",260
"1191",1191,"Ivanovskaya Oblast",1191,"Russian Federation","Russian_Federation","Russian_Federation__Ivanovskaya_Oblast",208
"1192",1192,"Iwate",1192,"Japan","Japan","Japan__Iwate",128
"1193",1193,"Izabal",1193,"Guatemala","Guatemala","Guatemala__Izabal",103
"1194",1194,"Izmir",1194,"Turkey","Turkey","Turkey__Izmir",254
"1195",1195,"Järva maakond",1195,"Estonia","Estonia","Estonia__Jrva_maakond",79
"1196",1196,"Jõgeva maakond",1196,"Estonia","Estonia","Estonia__Jgeva_maakond",79
"1197",1197,"Jabalya",1197,"Gaza Strip","Gaza_Strip","Gaza_Strip__Jabalya",92
"1198",1198,"Jablanicki",1198,"Serbia","Serbia","Serbia__Jablanicki",222
"1199",1199,"Jaemtlands Laen",1199,"Sweden","Sweden","Sweden__Jaemtlands_Laen",240
"1200",1200,"Jalal-Abad",1200,"Kyrgyzstan","Kyrgyzstan","Kyrgyzstan__Jalal-Abad",140
"1201",1201,"Jalapa",1201,"Guatemala","Guatemala","Guatemala__Jalapa",103
"1202",1202,"Jalisco",1202,"Mexico","Mexico","Mexico__Jalisco",164
"1203",1203,"Jambi",1203,"Indonesia","Indonesia","Indonesia__Jambi",119
"1204",1204,"Jambol",1204,"Bulgaria","Bulgaria","Bulgaria__Jambol",42
"1205",1205,"Jambylslkaya",1205,"Kazakhstan","Kazakhstan","Kazakhstan__Jambylslkaya",134
"1206",1206,"Jarash",1206,"Jordan","Jordan","Jordan__Jarash",132
"1207",1207,"Jarayan Al Batnah",1207,"Qatar","Qatar","Qatar__Jarayan_Al_Batnah",204
"1208",1208,"Jasz-nagykun-szolnok",1208,"Hungary","Hungary","Hungary__Jasz-nagykun-szolnok",115
"1209",1209,"Jawa Barat",1209,"Indonesia","Indonesia","Indonesia__Jawa_Barat",119
"1210",1210,"Jawa Tengah",1210,"Indonesia","Indonesia","Indonesia__Jawa_Tengah",119
"1211",1211,"Jawa Timur",1211,"Indonesia","Indonesia","Indonesia__Jawa_Timur",119
"1212",1212,"Jawf",1212,"Saudi Arabia","Saudi_Arabia","Saudi_Arabia__Jawf",218
"1213",1213,"Jawzjan",1213,"Afghanistan","Afghanistan","Afghanistan__Jawzjan",2
"1214",1214,"Jekabpils",1214,"Latvia","Latvia","Latvia__Jekabpils",142
"1215",1215,"Jelgavas",1215,"Latvia","Latvia","Latvia__Jelgavas",142
"1216",1216,"Jendouba",1216,"Tunisia","Tunisia","Tunisia__Jendouba",253
"1217",1217,"Jenin",1217,"West Bank","West_Bank","West_Bank__Jenin",272
"1218",1218,"Jerusalem",1218,"Israel","Israel","Israel__Jerusalem",124
"1219",1219,"Jharkhand",1219,"India","India","India__Jharkhand",118
"1220",1220,"Jiangsu Sheng",1220,"China","China","China__Jiangsu_Sheng",54
"1221",1221,"Jiangxi Sheng",1221,"China","China","China__Jiangxi_Sheng",54
"1222",1222,"Jidhafs",1222,"Bahrain","Bahrain","Bahrain__Jidhafs",22
"1223",1223,"Jigawa",1223,"Nigeria","Nigeria","Nigeria__Jigawa",185
"1224",1224,"Jihocesky",1224,"Czech Republic","Czech_Republic","Czech_Republic__Jihocesky",67
"1225",1225,"Jihomoravsky",1225,"Czech Republic","Czech_Republic","Czech_Republic__Jihomoravsky",67
"1226",1226,"Jijel",1226,"Algeria","Algeria","Algeria__Jijel",5
"1227",1227,"Jilin Sheng",1227,"China","China","China__Jilin_Sheng",54
"1228",1228,"Jinja",1228,"Uganda","Uganda","Uganda__Jinja",259
"1229",1229,"Jinotega",1229,"Nicaragua","Nicaragua","Nicaragua__Jinotega",183
"1230",1230,"Jizan",1230,"Saudi Arabia","Saudi_Arabia","Saudi_Arabia__Jizan",218
"1231",1231,"Jizzakh",1231,"Uzbekistan","Uzbekistan","Uzbekistan__Jizzakh",266
"1232",1232,"Joenkoepings Laen",1232,"Sweden","Sweden","Sweden__Joenkoepings_Laen",240
"1233",1233,"Johor",1233,"Malaysia","Malaysia","Malaysia__Johor",155
"1234",1234,"Jonglei",1234,"South Sudan","South_Sudan","South_Sudan__Jonglei",232
"1235",1235,"Jost van Dyke",1235,"British Virgin Islands","British_Virgin_Islands","British_Virgin_Islands__Jost_van_Dyke",40
"1236",1236,"Juba Dhexe",1236,"Somalia","Somalia","Somalia__Juba_Dhexe",229
"1237",1237,"Juba Hoose",1237,"Somalia","Somalia","Somalia__Juba_Hoose",229
