Site name,Site #,U_depth,L_depth,mid_point,BD_reported,BD_estimated,BD_new est,BD_final,SOM,OC,TN,OC_final,CD_reported,OC_stock_reported,CD_calc,TC instead of TOC?,Year_sampled,Age,,,,,,,,,,,,,,,
RC99 S3,M0019,0.26,0.28,0.27,0.23,0.18,0.19,0.23,54.18,,1.15,27.09,,,0.063,N,1997,,,,,,,,,,,,,,,,
RC99 S3,M0019,0.28,0.3,0.29,0.23,0.17,0.19,0.23,55.98,,1.15,27.99,,,0.064,N,1997,,,,,,,,,,,,,,,,
RC99 S3,M0019,0.3,0.32,0.31,0.23,0.19,0.2,0.23,53.79,,1.15,26.9,,,0.061,N,1997,,,,,,,,,,,,,,,,
RC99 S3,M0019,0.32,0.34,0.33,0.23,0.17,0.19,0.23,55.85,,1.15,27.93,,,0.065,N,1997,,,,,,,,,,,,,,,,
RC99 S3,M0019,0.34,0.36,0.35,0.24,0.17,0.18,0.24,57.51,,1.15,28.76,,,0.068,N,1997,,,,,,,,,,,,,,,,
RC99 S3,M0019,0.36,0.38,0.37,0.24,0.17,0.18,0.24,56.99,,1.15,28.49,,,0.068,N,1997,,,,,,,,,,,,,,,,
RC99 S3,M0019,0.38,0.4,0.39,0.23,0.17,0.18,0.23,57.37,,1.15,28.69,,,0.065,N,1997,,,,,,,,,,,,,,,,
RC99 S3,M0019,0.4,0.42,0.41,0.25,0.16,0.18,0.25,57.56,,,28.78,,,0.073,N,1997,,,,,,,,,,,,,,,,
RC99 S3,M0019,0.42,0.44,0.43,0.23,0.17,0.18,0.23,57.25,,,28.62,,,0.067,N,1997,,,,,,,,,,,,,,,,
RC99 S3,M0019,0.44,0.46,0.45,0.23,0.16,0.18,0.23,57.62,,,28.81,,,0.065,N,1997,,,,,,,,,,,,,,,,
RC99 S3,M0019,0.46,0.48,0.47,0.24,0.17,0.18,0.24,57.42,,,28.71,,,0.069,N,1997,,,,,,,,,,,,,,,,
RC99 S3,M0019,0.48,0.5,0.49,0.27,0.17,0.19,0.27,55.71,,,27.85,,,0.076,N,1997,,,,,,,,,,,,,,,,
RC99 S3,M0019,0.5,0.52,0.51,0.24,0.16,0.18,0.24,58.26,,,29.13,,,0.069,N,1997,,,,,,,,,,,,,,,,
RC99 S3,M0019,0.52,0.54,0.53,0.25,0.16,0.18,0.25,58.26,,,29.13,,,0.073,N,1997,,,,,,,,,,,,,,,,
RC99 S3,M0019,0.54,0.56,0.55,0.25,0.16,0.18,0.25,59.03,,,29.52,,,0.073,N,1997,,,,,,,,,,,,,,,,
RC99 S3,M0019,0.56,0.58,0.57,0.22,0.18,0.19,0.22,55.12,,,27.56,,,0.061,N,1997,,,,,,,,,,,,,,,,
RC99 S3,M0019,0.58,0.6,0.59,0.18,0.17,0.18,0.18,56.89,,,28.45,,,0.051,N,1997,,,,,,,,,,,,,,,,
RC99 S4,M0020,0,0.02,0.01,0.13,0.3,0.3,0.13,36.46,,1.55,18.23,,,0.023,N,1997,,,,,,,,,,,,,,,,
RC99 S4,M0020,0.02,0.04,0.03,0.15,0.31,0.31,0.15,34.9,,1.55,17.45,,,0.027,N,1997,,,,,,,,,,,,,,,,
RC99 S4,M0020,0.04,0.06,0.05,0.16,0.3,0.3,0.16,36.39,,1.55,18.19,,,0.028,N,1997,,,,,,,,,,,,,,,,
RC99 S4,M0020,0.06,0.08,0.07,0.14,0.28,0.28,0.14,39.07,,1.55,19.53,,,0.028,N,1997,,,,,,,,,,,,,,,,
RC99 S4,M0020,0.08,0.1,0.09,0.14,0.28,0.27,0.14,39.64,,1.55,19.82,,,0.028,N,1997,,,,,,,,,,,,,,,,
RC99 S4,M0020,0.1,0.12,0.11,0.16,0.28,0.28,0.16,38.68,,1.55,19.34,,,0.031,N,1997,,,,,,,,,,,,,,,,
RC99 S4,M0020,0.12,0.14,0.13,0.18,0.29,0.28,0.18,38.32,,1.55,19.16,,,0.035,N,1997,,,,,,,,,,,,,,,,
RC99 S4,M0020,0.14,0.16,0.15,0.18,0.28,0.28,0.18,38.43,,1.55,19.22,,,0.035,N,1997,,,,,,,,,,,,,,,,
RC99 S4,M0020,0.16,0.18,0.17,0.18,0.28,0.28,0.18,38.95,,1.55,19.47,,,0.035,N,1997,,,,,,,,,,,,,,,,
RC99 S4,M0020,0.18,0.2,0.19,0.21,0.28,0.28,0.21,38.68,,1.55,19.34,,,0.041,N,1997,,,,,,,,,,,,,,,,
RC99 S4,M0020,0.2,0.22,0.21,0.2,0.28,0.28,0.2,39,,1.55,19.5,,,0.039,N,1997,,,,,,,,,,,,,,,,
RC99 S4,M0020,0.22,0.24,0.23,0.19,0.27,0.27,0.19,39.8,,1.55,19.9,,,0.037,N,1997,,,,,,,,,,,,,,,,
RC99 S4,M0020,0.24,0.26,0.25,0.22,0.27,0.27,0.22,40,,1.55,20,,,0.043,N,1997,,,,,,,,,,,,,,,,
RC99 S4,M0020,0.26,0.28,0.27,0.18,0.27,0.27,0.18,40.57,,1.55,20.28,,,0.037,N,1997,,,,,,,,,,,,,,,,
