,,m,m,m ,,,Mg m-3,Mg m-3,Mg m-3,,%LOI,%C,%N,%C,g cm-3,Mg C ha-1,g C cm-3,Y/N,,,Notes,Notes (2) ,,,,,,,,,,,,,
Site name,Site #,U_depth,L_depth,mid_point,,,BD_reported,BD_estimated,BD_new est,BD_final,SOM,OC,TN,OC_final,CD_reported,OC_stock_reported,CD_calc,TC instead of TOC?,Year_sampled,Age,,,,,,,,,,,,,,,
RC99 S6,M0021,0.38,0.4,0.390,,,0.15,0.55,0.57,0.57,15.40,,2.33,7.70,,,0.044,N,1997,,,,,,,,,,,,,,,,
RC99 S6,M0021,0.4,0.42,0.410,,,0.15,0.54,0.56,0.56,15.72,,,7.86,,,0.044,N,1997,,,,,,,,,,,,,,,,
RC99 S6,M0021,0.42,0.44,0.430,,,0.16,0.55,0.57,0.57,15.21,,,7.60,,,0.044,N,1997,,,,,,,,,,,,,,,,
RC99 S6,M0021,0.44,0.46,0.450,,,0.17,0.56,0.58,0.58,14.90,,,7.45,,,0.043,N,1997,,,,,,,,,,,,,,,,
RC99 S6,M0021,0.46,0.48,0.470,,,0.16,0.55,0.57,0.57,15.27,,,7.64,,,0.044,N,1997,,,,,,,,,,,,,,,,
RC99 S6,M0021,0.48,0.5,0.490,,,0.13,0.55,0.57,0.57,15.55,,,7.77,,,0.044,N,1997,,,,,,,,,,,,,,,,
RC99 S6,M0021,0.5,0.52,0.510,,,0.16,0.54,0.56,0.56,16.07,,,8.04,,,0.045,N,1997,,,,,,,,,,,,,,,,
RC99 S6,M0021,0.52,0.54,0.530,,,0.15,0.53,0.55,0.55,16.27,,,8.13,,,0.045,N,1997,,,,,,,,,,,,,,,,
RC99 S6,M0021,0.54,0.56,0.550,,,0.14,0.54,0.56,0.56,15.89,,,7.94,,,0.044,N,1997,,,,,,,,,,,,,,,,
RC99 S6,M0021,0.56,0.58,0.570,,,0.17,0.56,0.58,0.58,14.99,,,7.49,,,0.043,N,1997,,,,,,,,,,,,,,,,
RC99 S6,M0021,0.58,0.6,0.590,,,0.17,0.54,0.56,0.56,15.91,,,7.95,,,0.044,N,1997,,,,,,,,,,,,,,,,
DMA96 Low,M0022,0,0.2,0.100,,,0.61,0.61,0.63,0.61,,6.23,0.23,6.23,,,0.038,N,1989,,,,,,,,,,,,,,,,
DMA96 Med,M0023,0,0.2,0.100,,,0.56,0.41,0.42,0.56,,12.53,0.35,12.53,,,0.070,N,1989,,,,,,,,,,,,,,,,
