,,m,m,m ,,,Mg m-3,Mg m-3,Mg m-3,,%LOI,%C,%N,%C,g cm-3,Mg C ha-1,g C cm-3,Y/N,,,Notes,Notes (2) ,,,,,,,,,,,,,
Site name,Site #,U_depth,L_depth,mid_point,,,BD_reported,BD_estimated,BD_new est,BD_final,SOM,OC,TN,OC_final,CD_reported,OC_stock_reported,CD_calc,TC instead of TOC?,Year_sampled,Age,,,,,,,,,,,,,,,
DMA96 High,M0024,0,0.2,0.100,,,0.60,0.41,0.42,0.60,,12.63,0.39,12.63,,,0.076,N,1989,,,,,,,,,,,,,,,,
DMA96 Creek Bank,M0025,0,0.2,0.100,,,0.68,0.70,0.71,0.68,,4.50,0.19,4.50,,,0.031,N,1989,,,,,,,,,,,,,,,,
DMA00 PH1,M0026,0,0.06685,0.033,,,,0.91,0.90,0.90,,2.11,0.14,2.11,,,0.019,N,1994,,,,,,,,,,,,,,,,
DMA00 PH1,M0026,0.06685,0.12671,0.097,,,,0.97,0.96,0.96,,1.70,0.13,1.70,,,0.016,N,1994,,,,,,,,,,,,,,,,
DMA00 PH1,M0026,0.12671,0.15705,0.142,,,,0.90,0.89,0.89,,2.19,0.12,2.19,,,0.019,N,1994,,,,,,,,,,,,,,,,
DMA00 PH1,M0026,0.15705,0.1851,0.171,,,,0.97,0.95,0.95,,1.72,0.12,1.72,,,0.016,N,1994,,,,,,,,,,,,,,,,
DMA00 PH1,M0026,0.1851,0.22422,0.205,,,,0.85,0.84,0.84,,2.64,0.11,2.64,,,0.022,N,1994,,,,,,,,,,,,,,,,
DMA00 PH1,M0026,0.22422,0.24439,0.234,,,,0.94,0.93,0.93,,1.90,0.11,1.90,,,0.018,N,1994,,,,,,,,,,,,,,,,
DMA00 PH1,M0026,0.24439,0.30384,0.274,,,,0.87,0.86,0.86,,2.41,0.13,2.41,,,0.021,N,1994,,,,,,,,,,,,,,,,
DMA00 PH1,M0026,0.30384,0.36312,0.333,,,,0.90,0.88,0.88,,2.21,0.12,2.21,,,0.020,N,1994,,,,,,,,,,,,,,,,
DMA00 PH1,M0026,0.36312,0.38298,0.373,,,,0.75,0.75,0.75,,3.78,0.18,3.78,,,0.028,N,1994,,,,,,,,,,,,,,,,
DMA00 PH1,M0026,0.38298,0.42583,0.404,,,,0.92,0.90,0.90,,2.06,0.12,2.06,,,0.019,N,1994,,,,,,,,,,,,,,,,
DMA00 PH1,M0026,0.42583,0.50498,0.465,,,,1.02,1.01,1.01,,1.42,0.13,1.42,,,0.014,N,1994,,,,,,,,,,,,,,,,
DMA00 PH1,M0026,0.50498,0.55752,0.531,,,,0.97,0.96,0.96,,1.70,0.14,1.70,,,0.016,N,1994,,,,,,,,,,,,,,,,
DMA00 PH1,M0026,0.55752,0.58924,0.573,,,,1.02,1.01,1.01,,1.42,0.11,1.42,,,0.014,N,1994,,,,,,,,,,,,,,,,
DMA00 PH1,M0026,0.58924,0.60925,0.599,,,,1.05,1.05,1.05,,1.25,0.12,1.25,,,0.013,N,1994,,,,,,,,,,,,,,,,
DMA00 PH1,M0026,0.60925,0.68943,0.649,,,,0.99,0.98,0.98,,1.57,0.11,1.57,,,0.015,N,1994,,,,,,,,,,,,,,,,
DMA00 PH2,M0027,0,0.00497,0.002,,,,1.01,1.00,1.00,,1.48,0.10,1.48,,,0.015,N,1994,,,,,,,,,,,,,,,,
DMA00 PH2,M0027,0.00497,0.07646,0.041,,,,0.82,0.81,0.81,,2.90,0.22,2.90,,,0.024,N,1994,,,,,,,,,,,,,,,,
DMA00 PH2,M0027,0.07646,0.14519,0.111,,,,0.81,0.81,0.81,,3.00,0.19,3.00,,,0.024,N,1994,,,,,,,,,,,,,,,,
DMA00 PH2,M0027,0.14519,0.21432,0.180,,,,0.86,0.85,0.85,,2.50,0.18,2.50,,,0.021,N,1994,,,,,,,,,,,,,,,,
DMA00 PH2,M0027,0.21432,0.28386,0.249,,,,0.93,0.91,0.91,,2.00,0.19,2.00,,,0.018,N,1994,,,,,,,,,,,,,,,,
DMA00 PH2,M0027,0.28386,0.35224,0.318,,,,0.82,0.81,0.81,,2.91,0.17,2.91,,,0.024,N,1994,,,,,,,,,,,,,,,,
DMA00 PH2,M0027,0.35224,0.42316,0.388,,,,0.83,0.82,0.82,,2.81,0.19,2.81,,,0.023,N,1994,,,,,,,,,,,,,,,,
DMA00 PH2,M0027,0.42316,0.49725,0.460,,,,0.87,0.86,0.86,,2.41,0.14,2.41,,,0.021,N,1994,,,,,,,,,,,,,,,,
DMA00 PH2,M0027,0.49725,0.55711,0.527,,,,1.02,1.02,1.02,,1.40,0.17,1.40,,,0.014,N,1994,,,,,,,,,,,,,,,,
DMA00 PH2,M0027,0.55711,0.68903,0.623,,,,0.94,0.93,0.93,,1.90,0.16,1.90,,,0.018,N,1994,,,,,,,,,,,,,,,,
DMA00 PH2,M0027,0.68903,0.82095,0.755,,,,1.04,1.04,1.04,,1.30,0.13,1.30,,,0.014,N,1994,,,,,,,,,,,,,,,,
DMA00 D1,M0028,0,0.0514,0.026,,,,0.62,0.63,0.63,,6.10,0.20,6.10,,,0.039,N,1994,,,,,,,,,,,,,,,,
DMA00 D1,M0028,0.0514,0.10236,0.077,,,,0.57,0.58,0.58,,7.30,0.23,7.30,,,0.043,N,1994,,,,,,,,,,,,,,,,
DMA00 D1,M0028,0.10236,0.15387,0.128,,,,0.60,0.62,0.62,,6.39,0.24,6.39,,,0.040,N,1994,,,,,,,,,,,,,,,,
DMA00 D1,M0028,0.15387,0.20111,0.177,,,,0.62,0.64,0.64,,6.01,0.22,6.01,,,0.038,N,1994,,,,,,,,,,,,,,,,
DMA00 D1,M0028,0.20111,0.25076,0.226,,,,0.65,0.66,0.66,,5.42,0.18,5.42,,,0.036,N,1994,,,,,,,,,,,,,,,,
DMA00 D1,M0028,0.25076,0.30097,0.276,,,,0.63,0.64,0.64,,5.91,0.18,5.91,,,0.038,N,1994,,,,,,,,,,,,,,,,
DMA00 D1,M0028,0.30097,0.35136,0.326,,,,0.70,0.71,0.71,,4.50,0.18,4.50,,,0.032,N,1994,,,,,,,,,,,,,,,,
DMA00 D1,M0028,0.35136,0.4024,0.377,,,,0.74,0.74,0.74,,3.92,0.14,3.92,,,0.029,N,1994,,,,,,,,,,,,,,,,
DMA00 D1,M0028,0.4024,0.45279,0.428,,,,0.71,0.72,0.72,,4.30,0.14,4.30,,,0.031,N,1994,,,,,,,,,,,,,,,,
DMA00 D1,M0028,0.45279,0.50225,0.478,,,,0.68,0.69,0.69,,4.90,0.15,4.90,,,0.034,N,1994,,,,,,,,,,,,,,,,
DMA00 D1,M0028,0.50225,0.55636,0.529,,,,0.73,0.74,0.74,,4.01,0.14,4.01,,,0.030,N,1994,,,,,,,,,,,,,,,,
DMA00 D1,M0028,0.55636,0.60535,0.581,,,,0.76,0.76,0.76,,3.61,0.12,3.61,,,0.028,N,1994,,,,,,,,,,,,,,,,
DMA00 D1,M0028,0.60535,0.65558,0.630,,,,0.83,0.82,0.82,,2.82,0.09,2.82,,,0.023,N,1994,,,,,,,,,,,,,,,,
DMA00 D1,M0028,0.65558,0.70865,0.682,,,,0.83,0.82,0.82,,2.79,0.09,2.79,,,0.023,N,1994,,,,,,,,,,,,,,,,
DMA00 D1,M0028,0.70865,0.76062,0.735,,,,0.91,0.90,0.90,,2.11,0.09,2.11,,,0.019,N,1994,,,,,,,,,,,,,,,,
DMA00 D1,M0028,0.76062,0.78725,0.774,,,,0.88,0.86,0.86,,2.40,0.10,2.40,,,0.021,N,1994,,,,,,,,,,,,,,,,
DMA00 D1,M0028,0.78725,0.80924,0.798,,,,0.89,0.87,0.87,,2.30,0.08,2.30,,,0.020,N,1994,,,,,,,,,,,,,,,,
DMA00 D1,M0028,0.80924,0.83051,0.820,,,,0.99,0.98,0.98,,1.56,0.06,1.56,,,0.015,N,1994,,,,,,,,,,,,,,,,
DMA00 D1,M0028,0.83051,0.85178,0.841,,,,0.92,0.91,0.91,,2.00,0.09,2.00,,,0.018,N,1994,,,,,,,,,,,,,,,,
DMA00 D2,M0029,0,0.06041,0.030,,,,1.04,1.04,1.04,,1.29,0.07,1.29,,,0.013,N,1994,,,,,,,,,,,,,,,,
DMA00 D2,M0029,0.06041,0.10886,0.085,,,,1.00,1.00,1.00,,1.49,0.07,1.49,,,0.015,N,1994,,,,,,,,,,,,,,,,
DMA00 D2,M0029,0.10886,0.15638,0.133,,,,1.02,1.02,1.02,,1.38,0.07,1.38,,,0.014,N,1994,,,,,,,,,,,,,,,,
DMA00 D2,M0029,0.15638,0.20529,0.181,,,,0.97,0.96,0.96,,1.70,0.07,1.70,,,0.016,N,1994,,,,,,,,,,,,,,,,
DMA00 D2,M0029,0.20529,0.25503,0.230,,,,0.98,0.98,0.98,,1.60,0.06,1.60,,,0.016,N,1994,,,,,,,,,,,,,,,,
DMA00 D2,M0029,0.25503,0.30672,0.281,,,,1.08,1.09,1.09,,1.10,0.05,1.10,,,0.012,N,1994,,,,,,,,,,,,,,,,
DMA00 D2,M0029,0.30672,0.35545,0.331,,,,1.04,1.04,1.04,,1.30,0.06,1.30,,,0.013,N,1994,,,,,,,,,,,,,,,,
DMA00 D2,M0029,0.35545,0.40519,0.380,,,,1.16,1.18,1.18,,0.82,0.03,0.82,,,0.010,N,1994,,,,,,,,,,,,,,,,
DMA00 D2,M0029,0.40519,0.45594,0.431,,,,1.17,1.18,1.18,,0.80,0.04,0.80,,,0.009,N,1994,,,,,,,,,,,,,,,,
DMA00 D2,M0029,0.45594,0.50624,0.481,,,,1.14,1.15,1.15,,0.89,0.04,0.89,,,0.010,N,1994,,,,,,,,,,,,,,,,
DMA00 D2,M0029,0.50624,0.56034,0.533,,,,1.14,1.15,1.15,,0.90,0.04,0.90,,,0.010,N,1994,,,,,,,,,,,,,,,,
DMA00 D2,M0029,0.56034,0.60946,0.585,,,,1.08,1.09,1.09,,1.10,0.04,1.10,,,0.012,N,1994,,,,,,,,,,,,,,,,
DMA00 D2,M0029,0.60946,0.65995,0.635,,,,1.20,1.22,1.22,,0.71,0.03,0.71,,,0.009,N,1994,,,,,,,,,,,,,,,,
DMA00 D2,M0029,0.65995,0.71256,0.686,,,,1.24,1.26,1.26,,0.60,0.03,0.60,,,0.008,N,1994,,,,,,,,,,,,,,,,
DMA00 D2,M0029,0.71256,0.75924,0.736,,,,1.24,1.26,1.26,,0.61,0.03,0.61,,,0.008,N,1994,,,,,,,,,,,,,,,,
DMA00 D2,M0029,0.75924,0.7906,0.775,,,,1.21,1.23,1.23,,0.69,0.03,0.69,,,0.008,N,1994,,,,,,,,,,,,,,,,
DMA00 D2,M0029,0.7906,0.8126,0.802,,,,1.15,1.17,1.17,,0.84,0.04,0.84,,,0.010,N,1994,,,,,,,,,,,,,,,,
DMA00 D2,M0029,0.8126,0.83107,0.822,,,,1.13,1.14,1.14,,0.92,0.04,0.92,,,0.011,N,1994,,,,,,,,,,,,,,,,
DMA00 D2,M0029,0.83107,0.91162,0.871,,,,1.09,1.09,1.09,,1.09,0.06,1.09,,,0.012,N,1994,,,,,,,,,,,,,,,,
DMA00 D2,M0029,0.91162,0.96109,0.936,,,,1.24,1.26,1.26,,0.61,0.03,0.61,,,0.008,N,1994,,,,,,,,,,,,,,,,
DMA00 D2,M0029,0.96109,1,0.981,,,,1.19,1.21,1.21,,0.74,0.03,0.74,,,0.009,N,1994,,,,,,,,,,,,,,,,
DMA00 MB1,M0030,0,0.05804,0.029,,,,0.50,0.51,0.51,,9.31,0.41,9.31,,,0.048,N,1994,,,,,,,,,,,,,,,,
DMA00 MB1,M0030,0.05804,0.10831,0.083,,,,0.57,0.59,0.59,,7.20,0.28,7.20,,,0.042,N,1994,,,,,,,,,,,,,,,,
DMA00 MB1,M0030,0.10831,0.15466,0.131,,,,0.66,0.68,0.68,,5.19,0.23,5.19,,,0.035,N,1994,,,,,,,,,,,,,,,,
DMA00 MB1,M0030,0.15466,0.20769,0.181,,,,0.52,0.54,0.54,,8.42,0.27,8.42,,,0.046,N,1994,,,,,,,,,,,,,,,,
DMA00 MB1,M0030,0.20769,0.25729,0.232,,,,0.57,0.59,0.59,,7.21,0.26,7.21,,,0.042,N,1994,,,,,,,,,,,,,,,,
DMA00 MB1,M0030,0.25729,0.30491,0.281,,,,0.55,0.56,0.56,,7.82,0.23,7.82,,,0.044,N,1994,,,,,,,,,,,,,,,,
DMA00 MB1,M0030,0.30491,0.35458,0.330,,,,0.50,0.51,0.51,,9.23,0.30,9.23,,,0.047,N,1994,,,,,,,,,,,,,,,,
DMA00 MB1,M0030,0.35458,0.40386,0.379,,,,0.50,0.52,0.52,,9.04,0.32,9.04,,,0.047,N,1994,,,,,,,,,,,,,,,,
DMA00 MB1,M0030,0.40386,0.45375,0.429,,,,0.47,0.48,0.48,,10.22,0.31,10.22,,,0.049,N,1994,,,,,,,,,,,,,,,,
DMA00 MB1,M0030,0.45375,0.5028,0.478,,,,0.58,0.60,0.60,,6.93,0.36,6.93,,,0.041,N,1994,,,,,,,,,,,,,,,,
DMA00 MB1,M0030,0.5028,0.55247,0.528,,,,0.57,0.59,0.59,,7.14,0.33,7.14,,,0.042,N,1994,,,,,,,,,,,,,,,,
DMA00 MB1,M0030,0.55247,0.60274,0.578,,,,0.56,0.57,0.57,,7.54,0.22,7.54,,,0.043,N,1994,,,,,,,,,,,,,,,,
DMA00 MB1,M0030,0.60274,0.65307,0.628,,,,0.61,0.63,0.63,,6.14,0.25,6.14,,,0.039,N,1994,,,,,,,,,,,,,,,,
DMA00 MB1,M0030,0.65307,0.68529,0.669,,,,0.55,0.57,0.57,,7.67,0.31,7.67,,,0.044,N,1994,,,,,,,,,,,,,,,,
DMA00 MB1,M0030,0.68529,0.72723,0.706,,,,0.73,0.73,0.73,,4.13,0.21,4.13,,,0.030,N,1994,,,,,,,,,,,,,,,,
DMA00 MB1,M0030,0.72723,0.75333,0.740,,,,0.71,0.71,0.71,,4.44,0.42,4.44,,,0.032,N,1994,,,,,,,,,,,,,,,,
DMA00 MB1,M0030,0.75333,0.78727,0.770,,,,0.46,0.47,0.47,,10.55,0.45,10.55,,,0.050,N,1994,,,,,,,,,,,,,,,,
DMA00 MB1,M0030,0.78727,0.82121,0.804,,,,0.73,0.73,0.73,,4.14,0.21,4.14,,,0.030,N,1994,,,,,,,,,,,,,,,,
DMA00 BR1,M0031,0,0.05739,0.029,,,,0.68,0.69,0.69,,4.89,0.18,4.89,,,0.034,N,1994,,,,,,,,,,,,,,,,
DMA00 BR1,M0031,0.05739,0.10849,0.083,,,,0.70,0.71,0.71,,4.59,0.17,4.59,,,0.032,N,1994,,,,,,,,,,,,,,,,
DMA00 BR1,M0031,0.10849,0.1592,0.134,,,,0.73,0.73,0.73,,4.09,0.18,4.09,,,0.030,N,1994,,,,,,,,,,,,,,,,
DMA00 BR1,M0031,0.1592,0.20843,0.184,,,,0.76,0.76,0.76,,3.60,0.15,3.60,,,0.027,N,1994,,,,,,,,,,,,,,,,
DMA00 BR1,M0031,0.20843,0.30565,0.257,,,,0.69,0.70,0.70,,4.70,0.18,4.70,,,0.033,N,1994,,,,,,,,,,,,,,,,
DMA00 BR1,M0031,0.30565,0.35653,0.331,,,,0.61,0.62,0.62,,6.33,0.23,6.33,,,0.039,N,1994,,,,,,,,,,,,,,,,
DMA00 BR1,M0031,0.35653,0.40509,0.381,,,,0.71,0.72,0.72,,4.31,0.18,4.31,,,0.031,N,1994,,,,,,,,,,,,,,,,
DMA00 BR1,M0031,0.40509,0.45293,0.429,,,,0.61,0.62,0.62,,6.32,0.21,6.32,,,0.039,N,1994,,,,,,,,,,,,,,,,
DMA00 BR1,M0031,0.45293,0.48653,0.470,,,,0.62,0.64,0.64,,6.02,0.20,6.02,,,0.038,N,1994,,,,,,,,,,,,,,,,
DMA00 BR1,M0031,0.48653,0.52013,0.503,,,,1.41,1.41,1.41,,0.31,0.03,0.31,,,0.004,N,1994,,,,,,,,,,,,,,,,
NM98 T00,M0032,0,0.05,0.025,,,,0.48,0.49,0.49,,9.88,,9.88,,,0.049,N,1996,,,,,,,,,,,,,,,,
NM98 T01,M0033,0,0.05,0.025,,,,0.52,0.54,0.54,,8.43,,8.43,,,0.046,N,1996,,,,,,,,,,,,,,,,
NM98 T02,M0034,0,0.05,0.025,,,,0.53,0.54,0.54,,8.35,,8.35,,,0.046,N,1996,,,,,,,,,,,,,,,,
NM98 T03,M0035,0,0.05,0.025,,,,0.59,0.61,0.61,,6.70,,6.70,,,0.041,N,1996,,,,,,,,,,,,,,,,
NM98 T04,M0036,0,0.05,0.025,,,,0.62,0.64,0.64,,5.98,,5.98,,,0.038,N,1996,,,,,,,,,,,,,,,,
NM98 T05,M0037,0,0.05,0.025,,,,0.67,0.69,0.69,,4.97,,4.97,,,0.034,N,1996,,,,,,,,,,,,,,,,
NM98 T06,M0038,0,0.05,0.025,,,,0.64,0.66,0.66,,5.59,,5.59,,,0.037,N,1996,,,,,,,,,,,,,,,,
NM98 T07,M0039,0,0.05,0.025,,,,0.59,0.61,0.61,,6.72,,6.72,,,0.041,N,1996,,,,,,,,,,,,,,,,
NM98 T08,M0040,0,0.05,0.025,,,,0.70,0.70,0.70,,4.60,,4.60,,,0.032,N,1996,,,,,,,,,,,,,,,,
NM98 T09,M0041,0,0.05,0.025,,,,0.76,0.76,0.76,,3.61,,3.61,,,0.028,N,1996,,,,,,,,,,,,,,,,
NM98 T10,M0042,0,0.05,0.025,,,,0.66,0.67,0.67,,5.31,,5.31,,,0.036,N,1996,,,,,,,,,,,,,,,,
NM98 T11,M0043,0,0.05,0.025,,,,0.87,0.86,0.86,,2.42,,2.42,,,0.021,N,1996,,,,,,,,,,,,,,,,
NM98 T12,M0044,0,0.05,0.025,,,,0.84,0.83,0.83,,2.74,,2.74,,,0.023,N,1996,,,,,,,,,,,,,,,,
NM98 T13,M0045,0,0.05,0.025,,,,1.21,1.23,1.23,,0.69,,0.69,,,0.008,N,1996,,,,,,,,,,,,,,,,
NM98 T14,M0046,0,0.05,0.025,,,,0.93,0.91,0.91,,1.98,,1.98,,,0.018,N,1996,,,,,,,,,,,,,,,,
NM98 T15,M0047,0,0.05,0.025,,,,1.01,1.01,1.01,,1.44,,1.44,,,0.015,N,1996,,,,,,,,,,,,,,,,
NM98 T16,M0048,0,0.05,0.025,,,,0.81,0.81,0.81,,3.00,,3.00,,,0.024,N,1996,,,,,,,,,,,,,,,,
NM98 T17,M0049,0,0.05,0.025,,,,0.83,0.82,0.82,,2.82,,2.82,,,0.023,N,1996,,,,,,,,,,,,,,,,
NM98 T18,M0050,0,0.05,0.025,,,,1.07,1.07,1.07,,1.17,,1.17,,,0.013,N,1996,,,,,,,,,,,,,,,,
NM98 T19,M0051,0,0.05,0.025,,,,1.08,1.08,1.08,,1.12,,1.12,,,0.012,N,1996,,,,,,,,,,,,,,,,
NM98 T20,M0052,0,0.05,0.025,,,,1.06,1.06,1.06,,1.21,,1.21,,,0.013,N,1996,,,,,,,,,,,,,,,,
NM98 P01S01,M0053,0,0.5,0.250,,,,#NUM!,1.62,1.62,,,,0.00,,317,0.063,N,1996,,,,,,,,,,,,,,,,
NM98 P01S03,M0054,0,0.5,0.250,,,,#NUM!,1.62,1.62,,,,0.00,,255,0.051,N,1996,,,,,,,,,,,,,,,,
NM98 P02S01,M0055,0,0.5,0.250,,,,#NUM!,1.62,1.62,,,,0.00,,381,0.076,N,1996,,,,,,,,,,,,,,,,
NM98 P02SO3,M0056,0,0.5,0.250,,,,#NUM!,1.62,1.62,,,,0.00,,251,0.050,N,1996,,,,,,,,,,,,,,,,
NM98 P03S01,M0057,0,0.4,0.200,,,,#NUM!,1.62,1.62,,,,0.00,,182,0.046,N,1996,,,,,,,,,,,,,,,,
NM98 P03S02,M0058,0,0.5,0.250,,,,#NUM!,1.62,1.62,,,,0.00,,295,0.059,N,1996,,,,,,,,,,,,,,,,
NM98 P03S03,M0059,0,0.5,0.250,,,,#NUM!,1.62,1.62,,,,0.00,,278,0.056,N,1996,,,,,,,,,,,,,,,,
NM98 P04S01,M0060,0,0.5,0.250,,,,#NUM!,1.62,1.62,,,,0.00,,290,0.058,N,1996,,,,,,,,,,,,,,,,
NM98 P04S02,M0061,0,0.5,0.250,,,,#NUM!,1.62,1.62,,,,0.00,,364,0.073,N,1996,,,,,,,,,,,,,,,,
NM98 P04S03,M0062,0,0.5,0.250,,,,#NUM!,1.62,1.62,,,,0.00,,312,0.062,N,1996,,,,,,,,,,,,,,,,
NM98 P05S01,M0063,0,0.5,0.250,,,,#NUM!,1.62,1.62,,,,0.00,,265,0.053,N,1996,,,,,,,,,,,,,,,,
NM98 P05S02,M0064,0,0.5,0.250,,,,#NUM!,1.62,1.62,,,,0.00,,346,0.069,N,1996,,,,,,,,,,,,,,,,
NM98 P05S03,M0065,0,0.5,0.250,,,,#NUM!,1.62,1.62,,,,0.00,,319,0.064,N,1996,,,,,,,,,,,,,,,,
NM98 P06S01,M0066,0,0.4,0.200,,,,#NUM!,1.62,1.62,,,,0.00,,253,0.063,N,1996,,,,,,,,,,,,,,,,
NM98 P06S02,M0067,0,0.5,0.250,,,,#NUM!,1.62,1.62,,,,0.00,,267,0.053,N,1996,,,,,,,,,,,,,,,,
NM98 P06S03,M0068,0,0.5,0.250,,,,#NUM!,1.62,1.62,,,,0.00,,363,0.073,N,1996,,,,,,,,,,,,,,,,
KLM02 Fringe,M0069,0,0.2,0.100,,,,0.13,0.16,0.16,,32.20,1.37,32.20,,,0.052,Y,1995,,,,,,,,,,,,,,,,
KLM02 Transition,M0070,0,0.2,0.100,,,,0.14,0.16,0.16,,31.40,1.31,31.40,,,0.052,Y,1995,,,,,,,,,,,,,,,,
KLM02 Dwarf,M0071,0,0.2,0.100,,,,0.16,0.18,0.18,,29.30,1.42,29.30,,,0.052,Y,1995,,,,,,,,,,,,,,,,
MW03 D11,M0072,0,0.02,0.010,,,,0.10,0.14,0.14,,36.20,2.30,36.20,,,0.051,Y,2001,,,,,,,,,,,,,,,,
MW03 D14,M0073,0,0.02,0.010,,,,0.16,0.18,0.18,,29.40,1.70,29.40,,,0.052,Y,2001,,,,,,,,,,,,,,,,
MW03 E5,M0074,0,0.02,0.010,,,,0.14,0.17,0.17,,30.90,1.60,30.90,,,0.052,Y,2001,,,,,,,,,,,,,,,,
MW03 E9,M0075,0,0.02,0.010,,,,0.12,0.15,0.15,,33.30,1.30,33.30,,,0.051,Y,2001,,,,,,,,,,,,,,,,
MW03 G12,M0076,0,0.02,0.010,,,,0.13,0.16,0.16,,32.50,1.00,32.50,,,0.052,Y,2001,,,,,,,,,,,,,,,,
MW03 H13,M0077,0,0.02,0.010,,,,0.13,0.16,0.16,,32.70,1.90,32.70,,,0.052,Y,2001,,,,,,,,,,,,,,,,
MW03 I13,M0078,0,0.02,0.010,,,,0.10,0.15,0.15,,35.30,3.00,35.30,,,0.051,Y,2001,,,,,,,,,,,,,,,,
MW03 MOW1,M0079,0,0.02,0.010,,,,0.11,0.15,0.15,,34.70,0.80,34.70,,,0.051,Y,2001,,,,,,,,,,,,,,,,
LDL95 Rhizophora,M0080,0,0.05,0.025,,,,0.83,0.82,0.82,,2.80,0.16,2.80,,,0.023,N,1993,,,,,,,,,,,,,,,,
LDL95 Rhizophora,M0080,0,0.1,0.050,,,,0.84,0.83,0.83,,2.70,0.18,2.70,,,0.022,N,1993,,,,,,,,,,,,,,,,
LDL95 Rhizophora,M0080,0,0.15,0.075,,,,0.84,0.83,0.83,,2.70,0.16,2.70,,,0.022,N,1993,,,,,,,,,,,,,,,,
LDL95 Avicennia,M0081,0,0.05,0.025,,,,0.62,0.63,0.63,,6.10,0.35,6.10,,,0.039,N,1993,,,,,,,,,,,,,,,,
LDL95 Avicennia,M0081,0,0.1,0.050,,,,0.75,0.75,0.75,,3.80,0.23,3.80,,,0.029,N,1993,,,,,,,,,,,,,,,,
LDL95 Avicennia,M0081,0,0.15,0.075,,,,0.75,0.75,0.75,,3.80,0.20,3.80,,,0.029,N,1993,,,,,,,,,,,,,,,,
JI97 Itacuruca,M0082,0,0.01,0.005,,,,0.78,0.78,0.78,,3.40,0.64,3.40,,,0.026,N,1989,,,,,,,,,,,,,,,,
JI97 Paraiba do Sul,M0083,0,0.01,0.005,,,,0.68,0.69,0.69,,4.82,0.42,4.82,,,0.033,N,1992,,,,,,,,,,,,,,,,
DMA05 JJ1,M0084,0,0.02333333333,0.012,,,,0.97,0.96,0.96,,1.67,0.12,1.67,,,0.016,N,2002,,,,,,,,,,,,,,,,
DMA05 JJ1,M0084,0.02333333333,0.04266666667,0.033,,,,0.97,0.96,0.96,,1.70,0.12,1.70,,,0.016,N,2002,,,,,,,,,,,,,,,,
DMA05 JJ1,M0084,0.04266666667,0.06333333333,0.053,,,,0.91,0.89,0.89,,2.15,0.13,2.15,,,0.019,N,2002,,,,,,,,,,,,,,,,
DMA05 JJ1,M0084,0.06333333333,0.083,0.073,,,,0.93,0.92,0.92,,1.96,0.12,1.96,,,0.018,N,2002,,,,,,,,,,,,,,,,
DMA05 JJ1,M0084,0.083,0.102,0.093,,,,0.81,0.80,0.80,,3.08,0.14,3.08,,,0.025,N,2002,,,,,,,,,,,,,,,,
DMA05 JJ1,M0084,0.102,0.1223333333,0.112,,,,0.86,0.85,0.85,,2.55,0.15,2.55,,,0.022,N,2002,,,,,,,,,,,,,,,,
DMA05 JJ1,M0084,0.1223333333,0.1423333333,0.132,,,,0.88,0.87,0.87,,2.32,0.14,2.32,,,0.020,N,2002,,,,,,,,,,,,,,,,
DMA05 JJ1,M0084,0.1423333333,0.1616666667,0.152,,,,0.87,0.86,0.86,,2.45,0.14,2.45,,,0.021,N,2002,,,,,,,,,,,,,,,,
DMA05 JJ1,M0084,0.1616666667,0.187,0.174,,,,0.90,0.89,0.89,,2.18,0.14,2.18,,,0.019,N,2002,,,,,,,,,,,,,,,,
DMA05 JJ1,M0084,0.187,0.2143333333,0.201,,,,0.82,0.81,0.81,,2.97,0.15,2.97,,,0.024,N,2002,,,,,,,,,,,,,,,,
DMA05 JJ1,M0084,0.2143333333,0.2453333333,0.230,,,,0.83,0.82,0.82,,2.80,0.17,2.80,,,0.023,N,2002,,,,,,,,,,,,,,,,
DMA05 JJ1,M0084,0.2453333333,0.2873333333,0.266,,,,0.85,0.84,0.84,,2.65,0.15,2.65,,,0.022,N,2002,,,,,,,,,,,,,,,,
DMA05 JJ1,M0084,0.2873333333,0.3256666667,0.307,,,,0.88,0.86,0.86,,2.40,0.14,2.40,,,0.021,N,2002,,,,,,,,,,,,,,,,
DMA05 JJ1,M0084,0.3256666667,0.3663333333,0.346,,,,0.87,0.86,0.86,,2.44,0.13,2.44,,,0.021,N,2002,,,,,,,,,,,,,,,,
DMA05 JJ1,M0084,0.3663333333,0.4053333333,0.386,,,,0.90,0.88,0.88,,2.23,0.13,2.23,,,0.020,N,2002,,,,,,,,,,,,,,,,
DMA05 JJ1,M0084,0.4053333333,0.4453333333,0.425,,,,0.96,0.95,0.95,,1.75,0.12,1.75,,,0.017,N,2002,,,,,,,,,,,,,,,,
DMA05 JJ1,M0084,0.4453333333,0.485,0.465,,,,1.02,1.01,1.01,,1.42,0.11,1.42,,,0.014,N,2002,,,,,,,,,,,,,,,,
DMA05 JJ1,M0084,0.485,0.5256666667,0.505,,,,1.03,1.02,1.02,,1.37,0.11,1.37,,,0.014,N,2002,,,,,,,,,,,,,,,,
DMA05 JJ1,M0084,0.5256666667,0.568,0.547,,,,1.05,1.05,1.05,,1.24,0.12,1.24,,,0.013,N,2002,,,,,,,,,,,,,,,,
DMA05 JJ1,M0084,0.568,0.606,0.587,,,,1.03,1.03,1.03,,1.34,0.11,1.34,,,0.014,N,2002,,,,,,,,,,,,,,,,
