TAXNWRB,count,WRB_2006_NAME
LEPTIC CALCISOL,17,Haplic Calcisols
Luvic Phaeozems Albic,17,Luvic Phaeozems
Mollic Planosol,17,Haplic Planosols (Eutric)
Mollic Solonchak,17,Haplic Solonchaks
Profondic LUVISOL,17,Haplic Luvisols
Sodic REGOSOL,17,Haplic Regosols (Sodic)
Vertic Luvic Phaeozem,17,Luvic Phaeozems
Vertic Phaeozem,17,Haplic Phaeozems
Arenic FLUVISOL,16,Haplic Fluvisols (Arenic)
Gleyic Podzoluvisol,16,Haplic Albeluvisols
Gypsic Regosol,16,Haplic Regosols (Dystric)
Haplic Gleysols Dystric,16,Haplic Gleysols
Haplic PHAEOZEM,16,Haplic Phaeozems
Hypersodic ARENOSOL,16,Haplic Arenosols
Hyposodic LUVISOL,16,Haplic Luvisols
Luvic Gleysol,16,Haplic Gleysols
Mollic Gleysols,16,Mollic Gleysols
Acri-xanthic Ferralsol,15,Haplic Ferralsols (Xanthic) / Acric Ferralsols
Aric Anthrosol,15,
Aridic CAMBISOL,15,Haplic Cambisols
CHROMIC LUVISOL,15,Haplic Luvisols (Chromic)
Epipetric GIPSISOL,15,Haplic Gypsisols
Ferralic Arenosols,15,Ferralic Arenosols
Fimic Anthrosol,15,
Humic UMBRISOL,15,Haplic Umbrisols
Hypersodic CALCISOL,15,Haplic Calcisols (Sodic)
Hypersodic CAMBISOL,15,Haplic Cambisols (Sodic)
Petric Gypsisol,15,Haplic Gypsisols
Stagnic Albeluvisol,15,Haplic Albeluvisols
Stagnic Phaeozem,15,Haplic Phaeozems
Vertic PHAEOZEM,15,Haplic Phaeozems
Calcaric Cambisols,14,Haplic Cambisols (Calcaric)
Calcaric FLUVISOL,14,Haplic Fluvisols (Calcaric)
CALCARIC REGOSOL,14,Aric Regosols
Chromic LUVISOL,14,Haplic Luvisols (Chromic)
Endogleyic Cambisols Dystric,14,Endogleyic Cambisols
Epileptic UMBRISOL,14,Leptic Umbrisols
FERRALIC-LAMELLIC ARENOSOL,14,Haplic Arenosols
HYPOSALIC ARENOSOL,14,Haplic Arenosols
Mollic Andosols,14,Aluandic Andosols
Mollic Ferralsol,14,Haplic Ferralsols
Pellic VERTISOL,14,Haplic Vertisols
Umbrihumic LUVISOL,14,Haplic Luvisols
Vertic Calcic Luvisol,14,Calcic Luvisols
Albic Stagnic Luvisol,13,Stagnic Luvisols
Chromic Lixisols,13,Haplic Lixisols (Chromic)
Eutric Arenosols,13,Haplic Arenosols 
Grumic Vertisol,13,Mollic Vertisols
Haplic CALCISOL,13,Haplic Calcisols
Histic Albeluvisols Abruptic,13,Umbric Albeluvisols
Humic Alisol,13,Haplic Alisols 
Hypersodic VERTISOL,13,Haplic Vertisols
Hyposodic ARENOSOL,13,Haplic Arenosols
LEPTIC-CALCARIC REGOSOL,13,Aric Regosols
NATRIC-CALCIC VERTISOL,13,Calcic Vertisols
Plinthic Lixisol,13,Haplic Lixisols
Sodic LUVISOL,13,Haplic Luvisols
Umbric Regosol,13,Aric Regosols
Vertic Alisol,13,Haplic Alisols
Vertic CHERNOZEM,13,Haplic Chernozems
Vitric Cryosols Dystric,13,Vitric Cryosols
Albic Arenosols,12,Albic Arenosols
Dystric Regosols,12,Haplic Regosols (Dystric)
Endopetric DURISOL,12,Petric Durisols
Endopetric GIPSISOL,12,Haplic Gypsisols
Eutric Plinthosol,12,Acric Plinthosols
Fibric Histosols Dystric,12,Fibric Histosols
Haplic LUVISOL,12,Haplic Luvisols
Haplic Stagnosol,12,Luvic Stagnosols
LEPTIC CAMBISOL,12,Leptic Cambisols
Luvic Stagnosols Dystric,12,Luvic Stagnosols
Pellic Vertisol,12,Haplic Vertisols
Plinthic Alisol,12,Haplic Alisols
Rubic Arenosols Eutric,12,Haplic Arenosols
SODIC GYPSISOL,12,Haplic Gypsisols
Umbric Acrisol,12,Haplic Acrisols (Humic)
Vetic Acrisol,12,Vetic Acrisols
Alcalic SOLONETZ,11,Haplic Solonetz
Calcic Chernozem / Luvic Phaeozem,11,Luvic Phaeozems
Calcic Geysols Humic,11,Calcic Gleysols
Calcic Histosols,11,Calcic Histosols
Cutanic Vertic Luvisol,11,Vertic Luvisols
Endoleptic CHERNOZEM,11,Haplic Chernozems
Endoleptic PLANOSOL,11,Haplic Planosols (Dystric)
Endosodic VERTISOL,11,Haplic Vertisols
Eutric Nitisol,11,Haplic Nitisols (Rhodic)
FERRALIC CAMBISOL,11,Ferralic Cambisols
Gelic Regosol,11,Haplic Regosols (Dystric)
Gleyic Vertisols Eutric,11,Haplic Vertisols
HAPLIC CAMBISOL,11,Haplic Cambisols
Haplic Cryosols Reductaquic,11,Haplic Cryosols
Humic Podzol,11,Haplic Podzols
Hypersodic GLEYSOL,11,Haplic Gleysols
Hypersodic REGOSOL,11,Haplic Regosols (Sodic)
Hyposodic VERTISOL,11,Haplic Vertisols
LEPTIC-MOLLIC CAMBISOL,11,Leptic Cambisols
LEPTIC-SKELETIC REGOSOL,11,Leptic Regosols
Mollic Leptosols Eutric,11,Mollic Leptosols
Paraplinthic Acrisols,11,Haplic Acrisols
Plinthic Ferralsol,11,Haplic Ferralsols
Sodic PHAEOZEM,11,Haplic Phaeozems
Umbric Fluvisol,11,Haplic Fluvisols (Eutric)
Umbric Fluvisols Oxyaquic,11,Haplic Fluvisols (Eutric)
Umbric LUVISOL,11,Haplic Luvisols
Vertic Calcic Luvic Chernozem,11,Luvic Chernozems
Veti-Acric Ferralsol,11,Acric Ferralsols
Endopetroduric PHAEOZEM,10,Haplic Phaeozems
Endoskeletic LUVISOL,10,Haplic Luvisols
Endosodic CALCISOL,10,Haplic Calcisols (Sodic)
Escalic LUVISOL,10,Haplic Luvisols
Follic Gleysols Gelic,10,Mollic Gleysols
Gelic Histosol,10,Cryic Histosols
Haplic Albeluvisol,10,Haplic Albeluvisols
Haplic Cryosols Dystric,10,Haplic Cryosols
Haplic Umbrisol,10,Haplic Umbrisols
Leptic Regosols,10,Leptic Regosols
LEPTIC-CHROMIC CAMBISOL,10,Leptic Cambisols
Luvic PLANOSOL,10,Luvic Planosols
Paraplinthic Lixisols,10,Haplic Lixisols
Rhodi-Acric Ferralsols,10,Acric Ferralsols
Sodic GLEYSOL,10,Haplic Gleysols
Thionic Histosol,10,Calcic Histosols
Vitric ANDOSOL,10,Vitric Andosols
Albic Solonetz,9,Haplic Solonetz
Aridic REGOSOL,9,Haplic Regosols (Dystric)
Calcaric PHAEOZEM,9,Haplic Phaeozems 
Calcic Gypsisols,9,Calcic Gypsisols
CALCIC LUVISOL,9,Calcic Luvisols
Calcic Phaeozem,9,Haplic Phaeozems
Cutanic LUVISOL,9,Haplic Lixisols
Cutanic Vertic Calcic Luvisol,9,Calcic Luvisols
Dunes/Sand,9,Protic Arenosols
Dystric LUVISOL,9,Haplic Luvisols
Dystric Vertisol,9,Haplic Vertisols
Endogleyic VERTISOL,9,Haplic Vertisols
Endopetrocalcic PHAEOZEM,9,Haplic Phaeozems
Endosalic Kastanozems Sodic,9,Haplic Kastanozems
Epigleyic VERTISOL,9,Haplic Vertisols
Eutric ARENOSOL,9,Haplic Arenosols 
Gelic Podzol,9,Haplic Podzols
GYPSIC SOLONETZ,9,Haplic Solonetz
Haplic Vertisol (Calcaric),9,Haplic Vertisols
Histic Cryosols Reductaquic,9,Haplic Cryosols
Hypoplinthic Ferralic Cambisol,9,Ferralic Cambisols
Leptosol Hyperskeletic,9,Haplic Leptosols
Mollic GLEYSOL,9,Mollic Gleysols
Pachic PHAEOZEM,9,Haplic Phaeozems 
Paraplinthic Arenosols,9,Haplic Arenosols
Rubi-Ferralic Arenosols,9,Ferralic Arenosols
Salic VERTISOL,9,Haplic Vertisols
Vertic CALCISOL,9,Haplic Calcisols
Vertic Luvisols,9,Vertic Luvisols
Xanthi-Acric Ferralsols,9,Acric Ferralsols
Arenic CALCISOL,8,Haplic Calcisols
CALCARIC-SKELETIC REGOSOL,8,Haplic Regosols (Dystric)
Chromi-Luvic Phaeozems,8,Luvic Phaeozems
Chromic VERTISOL,8,Haplic Vertisols
Cutanic Calcic Luvisol,8,Calcic Luvisols
Dystric Gleysols,8,Haplic Gleysols (Dystric)
Endogleyic Cambisol,8,Endogleyic Cambisols
Endogleyic Planosols Albic,8,Endogleyic Planosols
Epipetrocalcic CHERNOZEM,8,Calcic Chernozems
Escalic REGOSOL,8,Haplic Regosols (Dystric)
Eutric CAMBISOL,8,Haplic Cambisols (Eutric)
Eutric Paraleptic Cambisol,8,Leptic Cambisols
Haplic Arenosols Eutric,8,Haplic Arenosols
Histic Andosols Dystric,8,Aluandic Andosols
Hypoplinthic Ferralsol,8,Haplic Ferralsols
Hyposodic CALCISOL,8,Haplic Calcisols (Sodic)
LITHIC-CALCARIC LEPTOSOL,8,Lithic Leptosols
Luvic Chernozems Sodic,8,Luvic Chernozems
Luvic Planosols Eutric,8,Luvic Planosols
Molihumic LEPTOSOL,8,Mollic Leptosols
Mollic FLUVISOL,8,Haplic Ferralsols
Mollic Nitisols,8,Alic Nitisols
Protic ARENOSOL,8,Protic Arenosols
Regosols,8,Haplic Regosols (Dystric)
Rhodic Lixisol,8,Haplic Lixisols (Ferric)
SKELETIC-CHROMIC CAMBISOL,8,Haplic Cambisols (Chromic) / Leptic Cambisols
Spodic Cryosols Dystric,8,Haplic Cryosols
Stagnic Alisol,8,Haplic Alisols
Thionic Gleysol,8,Haplic Gleysols
