World_Soil_Map_1974_Group,World_Soil_Map_1974_Subgroup,World_Soil_Map_1984_Group,World_Soil_Map_1984_Subgroup,WRB_1994_Group,WRB_1994_Subgroup,WRB_1998_Group,WRB_1998_Subgroup,WRB_2006_Group,WRB_2006_Prefixes,WRB_2006_Suffixes,WRB_2014_Group,WRB_2014_Subgroup,WRB_2006_NAME,FAO_1974_NAME,WRB_1994_NAME
,,,,Umbrisols,Skeletic,Umbrisols,Skeletic,Umbrisols,Haplic,Skeletic,,,Haplic Umbrisols, ,Skeletic Umbrisols
,,,,Umbrisols,Arenic,Umbrisols,Arenic,Umbrisols,Haplic,Arenic,,,Haplic Umbrisols, ,Arenic Umbrisols
,,,,Umbrisols,,Umbrisols,,Umbrisols,Haplic,Siltic,,,Haplic Umbrisols, , Umbrisols
,,,,Umbrisols,,Umbrisols,,Umbrisols,Haplic,Clayic,,,Haplic Umbrisols, , Umbrisols
,,,,Umbrisols,,Umbrisols,,Umbrisols,Haplic,Chromic,,,Haplic Umbrisols, , Umbrisols
,,,,Umbrisols,,Umbrisols,,Umbrisols,Haplic,Drenic,,,Haplic Umbrisols, , Umbrisols
,,,,Umbrisols,,Umbrisols,,Umbrisols,Haplic,Novic,,,Haplic Umbrisols, , Umbrisols
Vertisols,,Vertisols,,Vertisols,,Vertisols,Grumic,Vertisols,Grumic,,,,Grumic Vertisols, Vertisols, Vertisols
Vertisols,,Vertisols,,Vertisols,,Vertisols,Mazic,Vertisols,Mazic,,,,Mazic Vertisols, Vertisols, Vertisols
Vertisols,,Vertisols,,Vertisols,,Vertisols,Natric,Vertisols,Technic,,,,Technic Vertisols, Vertisols, Vertisols
Vertisols,,Vertisols,,Vertisols,,Vertisols,,Vertisols,Endoleptic,,,,Endoleptic Vertisols, Vertisols, Vertisols
Vertisols,,Vertisols,,Vertisols,Salic,Vertisols,Salic,Vertisols,Salic,,,,Salic Vertisols, Vertisols,Salic Vertisols
Vertisols,,Vertisols,,Vertisols,,Vertisols,,Vertisols,Gleyic,,,,Gleyic Vertisols, Vertisols, Vertisols
Vertisols,,Vertisols,,Vertisols,,Vertisols,Alic,Vertisols,Sodic,,,,Sodic Vertisols, Vertisols, Vertisols
Vertisols,,Vertisols,,Vertisols,,Vertisols,,Vertisols,Stagnic,,,,Stagnic Vertisols, Vertisols, Vertisols
Vertisols,,Vertisols,,Vertisols,,Vertisols,,Vertisols,Mollic,,,,Mollic Vertisols, Vertisols, Vertisols
Vertisols,,Vertisols,Gypsic,Vertisols,Gypsic,Vertisols,Gypsic,Vertisols,Gypsic,,,,Gypsic Vertisols, Vertisols,Gypsic Vertisols
Vertisols,,Vertisols,,Vertisols,,Vertisols,Duric,Vertisols,Duric,,,,Duric Vertisols, Vertisols, Vertisols
Vertisols,,Vertisols,Calcic,Vertisols,Calcic,Vertisols,Calcic,Vertisols,Calcic,,,,Calcic Vertisols, Vertisols,Calcic Vertisols
Vertisols,,Vertisols,,Vertisols,Haplic,Vertisols,Haplic,Vertisols,Haplic,,,,Haplic Vertisols, Vertisols,Haplic Vertisols
Vertisols,,Vertisols,,Vertisols,Thionic,Vertisols,Thionic,Vertisols,Haplic,Thionic,,,Haplic Vertisols, Vertisols,Thionic Vertisols
Vertisols,,Vertisols,,Vertisols,,Vertisols,,Vertisols,Haplic,Albic,,,Haplic Vertisols, Vertisols, Vertisols
Vertisols,,Vertisols,,Vertisols,,Vertisols,,Vertisols,Haplic,Manganiferric,,,Haplic Vertisols, Vertisols, Vertisols
Vertisols,,Vertisols,,Vertisols,,Vertisols,,Vertisols,Haplic,Ferric,,,Haplic Vertisols, Vertisols, Vertisols
Vertisols,,Vertisols,,Vertisols,,Vertisols,Gypsiric,Vertisols,Haplic,Gypsiric,,,Haplic Vertisols, Vertisols, Vertisols
Vertisols,,Vertisols,,Vertisols,,Vertisols,,Vertisols,Haplic,Calcaric,,,Haplic Vertisols, Vertisols, Vertisols
Vertisols,,Vertisols,,Vertisols,,Vertisols,,Vertisols,Haplic,Humic,,,Haplic Vertisols, Vertisols, Vertisols
Vertisols,,Vertisols,,Vertisols,,Vertisols,,Vertisols,Haplic,Hyposalic,,,Haplic Vertisols, Vertisols, Vertisols
Vertisols,,Vertisols,,Vertisols,Sodic,Vertisols,Hyposodic,Vertisols,Haplic,Hyposodic,,,Haplic Vertisols, Vertisols,Sodic Vertisols
Vertisols,,Vertisols,,Vertisols,Dystric,Vertisols,Dystric,Vertisols,Haplic,Mesotrophic,,,Haplic Vertisols, Vertisols,Dystric Vertisols
Vertisols,,Vertisols,Euthric,Vertisols,,Vertisols,Eutric,Vertisols,Haplic,Hypereutric,,,Haplic Vertisols, Vertisols, Vertisols
Vertisols,,Vertisols,,Vertisols,,Vertisols,Pellic,Vertisols,Haplic,Pellic,,,Haplic Vertisols, Vertisols, Vertisols
Vertisols,Chromic,Vertisols,,Vertisols,Chromic,Vertisols,Chromic,Vertisols,Haplic,Chromic,,,Haplic Vertisols,Chromic Vertisols,Chromic Vertisols
Vertisols,,Vertisols,,Vertisols,,Vertisols,,Vertisols,Haplic,Novic,,,Haplic Vertisols, Vertisols, Vertisols
Vertisols,Umbric,Vertisols,,Vertisols,,Vertisols,,Vertisols,Haplic,,,,Haplic Vertisols,Umbric Vertisols, Vertisols
